Date,Montreal,Vancouver,Toronto,Regina,Saskatoon,Ottawa,Winnipeg,Calgary,Edmonton
2020-07-01,24,1,101,0,0,4,0,23,17
2020-07-02,16,5,62,0,1,4,0,20,3
2020-07-03,17,2,36,0,0,4,0,5,14
2020-07-04,16,5,63,0,0,4,0,17,20
2020-07-05,7,5,44,0,2,5,0,19,17
2020-07-06,15,1,41,0,0,,0,26,14
2020-07-07,21,4,45,0,1,6,0,17,15
2020-07-08,33,5,124,0,1,5,0,8,19
2020-07-09,52,2,54,0,1,5,0,21,33
2020-07-10,50,8,44,0,0,12,0,19,17
2020-07-11,22,8,63,0,0,7,0,23,44
2020-07-12,13,8,31,2,5,9,0,12,43
2020-07-13,75,2,33,2,1,6,2,20,39
2020-07-14,67,5,36,1,1,4,0,15,30
2020-07-15,69,5,44,0,1,15,0,21,59
2020-07-16,65,3,54,0,4,7,0,25,37
2020-07-17,100,5,31,2,0,17,0,18,102
2020-07-18,97,1,41,0,1,16,2,17,62
2020-07-19,54,1,32,0,1,28,2,16,52
2020-07-20,38,4,31,0,5,47,2,27,52
2020-07-21,64,5,38,0,1,23,0,23,79
2020-07-22,77,1,21,0,4,13,1,11,60
2020-07-23,92,4,40,0,2,29,0,24,55
2020-07-24,69,2,29,1,0,34,0,28,50
2020-07-25,35,2,21,0,1,26,3,19,51
2020-07-26,52,1,19,0,10,21,1,34,36
2020-07-27,34,2,44,0,8,22,0,17,31
2020-07-28,38,1,19,1,2,14,1,28,42
2020-07-29,71,3,18,2,0,20,1,24,23
2020-07-30,59,11,19,0,5,19,1,17,26
2020-07-31,58,15,18,0,1,18,1,35,44
2020-08-01,51,7,17,1,3,15,2,21,25
2020-08-02,30,4,16,1,2,2,1,23,21
2020-08-03,46,5,22,2,0,10,1,26,16
2020-08-04,65,7,26,4,2,20,2,48,30
2020-08-05,46,6,24,2,2,12,1,36,16
2020-08-06,21,15,30,0,1,14,5,36,32
2020-08-07,46,10,23,2,3,6,0,51,36
2020-08-08,35,15,19,3,11,14,5,41,36
2020-08-09,38,16,17,5,1,16,0,25,14
2020-08-10,34,14,16,3,1,8,0,51,11
2020-08-11,36,34,19,4,17,8,10,89,14
2020-08-12,35,28,26,4,0,12,7,28,32
2020-08-13,38,40,31,2,3,11,9,52,19
2020-08-14,31,28,20,0,0,6,6,63,20
2020-08-15,14,22,25,0,2,2,5,53,23
2020-08-16,13,16,25,0,0,26,8,61,20
2020-08-17,17,10,22,0,0,8,7,55,13
2020-08-18,18,29,28,0,1,15,1,51,20
2020-08-19,22,32,34,0,0,23,5,49,34
2020-08-20,34,28,30,0,1,24,9,88,35
2020-08-21,33,31,26,0,1,16,2,25,47
2020-08-22,20,18,23,0,1,16,10,45,41
2020-08-23,23,21,33,1,0,13,7,30,28
2020-08-24,8,17,35,0,0,19,6,37,17
2020-08-25,28,15,23,0,0,23,9,64,46
2020-08-26,42,30,40,0,3,15,6,48,37
2020-08-27,43,50,46,0,2,16,7,33,96
2020-08-28,26,30,38,0,1,20,17,46,82
2020-08-29,55,28,51,0,2,12,17,74,70
2020-08-30,14,23,30,0,0,16,6,54,32
2020-08-31,32,15,37,0,1,13,11,59,66
2020-09-01,36,32,44,0,1,18,4,49,32
2020-09-02,36,25,35,0,0,14,13,44,52
2020-09-03,72,46,71,0,6,24,6,77,52
2020-09-04,49,36,42,0,0,24,19,67,65
2020-09-05,67,38,45,0,3,17,8,84,47
2020-09-06,59,37,57,1,3,26,8,61,48
2020-09-07,50,25,58,0,2,30,7,64,46
2020-09-08,72,23,65,3,1,24,14,46,29
2020-09-09,70,45,85,0,1,15,9,60,27
2020-09-10,90,51,79,1,1,33,8,56,28
2020-09-11,109,48,97,1,4,60,8,34,46
2020-09-12,72,48,120,0,5,47,13,87,49
2020-09-13,100,29,100,0,14,31,15,69,55
2020-09-14,74,17,73,0,6,59,13,68,31
2020-09-15,94,44,115,0,8,41,21,112,47
2020-09-16,83,50,97,1,7,41,8,101,43
2020-09-17,74,44,163,0,4,57,29,52,48
2020-09-18,203,30,143,4,12,47,13,90,35
2020-09-19,141,27,190,5,2,47,23,72,37
2020-09-20,213,31,139,10,7,76,17,86,43
2020-09-21,140,32,130,1,5,55,20,76,60
2020-09-22,170,23,163,2,6,85,31,80,33
2020-09-23,258,43,182,3,2,66,33,54,64
2020-09-24,238,30,180,1,2,38,50,69,41
2020-09-25,287,44,199,1,3,57,56,90,68
2020-09-26,350,27,265,2,15,76,29,85,58
2020-09-27,277,27,264,4,1,109,25,73,43
2020-09-28,283,27,216,3,3,86,26,61,61
2020-09-29,355,37,290,6,0,58,31,119,44
2020-09-30,321,44,301,2,8,109,25,103,33
2020-10-01,317,36,299,4,0,106,30,98,36
2020-10-02,419,38,259,0,6,115,36,125,72
2020-10-03,376,33,249,2,3,65,32,115,53
2020-10-04,302,29,225,1,1,77,22,125,53
2020-10-05,282,18,183,1,1,82,31,123,52
2020-10-06,257,26,274,2,6,139,32,164,47
2020-10-07,304,26,321,3,4,175,46,136,55
2020-10-08,347,23,368,1,6,85,73,113,44
2020-10-09,287,41,243,2,5,96,68,136,74
2020-10-10,197,21,223,3,3,67,102,122,71
2020-10-11,335,23,329,11,1,141,74,131,74
2020-10-12,275,32,197,5,13,63,41,110,70
2020-10-13,203,25,294,11,8,74,108,127,72
2020-10-14,277,19,344,3,4,84,122,121,78
2020-10-15,259,40,533,7,8,107,64,173,94
2020-10-16,264,24,216,7,7,78,73,152,105
2020-10-17,276,19,229,4,10,63,20,84,112
2020-10-18,194,38,309,6,1,74,45,200,114
2020-10-19,243,29,334,8,25,69,110,152,126
2020-10-20,255,24,472,3,20,47,118,174,181
2020-10-21,293,34,305,11,14,69,105,219,165
2020-10-22,226,47,376,4,21,88,128,187,150
2020-10-23,247,42,330,9,4,93,106,179,159
2020-10-24,166,26,269,21,33,63,122,311,152
2020-10-25,219,23,351,14,27,69,91,264,157
2020-10-26,362,41,303,9,13,77,145,157,214
2020-10-27,244,33,414,5,29,61,135,145,207
2020-10-28,215,31,263,15,25,94,185,192,213
2020-10-29,220,71,324,13,37,65,230,212,283
2020-10-30,198,69,334,7,34,122,148,199,288
2020-10-31,240,69,308,18,41,83,294,167,245
2020-11-01,233,54,527,19,25,51,55,292,221
2020-11-02,198,66,292,14,18,56,134,294,213
2020-11-03,243,81,532,10,29,36,202,263,207
2020-11-04,248,112,278,14,13,52,274,315,319
2020-11-05,327,89,413,13,55,45,123,296,293
2020-11-06,265,96,397,20,25,79,184,352,324
2020-11-07,273,69,343,39,38,75,331,228,288
2020-11-08,277,55,481,23,48,47,221,280,237
2020-11-09,272,69,511,25,76,31,186,343,307
2020-11-10,325,78,531,31,50,51,312,243,295
2020-11-11,351,104,381,37,29,78,281,381,339
2020-11-12,286,63,508,25,24,59,250,391,343
2020-11-13,332,103,413,16,5,80,258,423,415
2020-11-14,310,119,428,20,123,51,224,402,434
2020-11-15,281,74,482,28,64,29,216,333,357
2020-11-16,308,118,395,32,41,11,141,306,347
2020-11-17,237,117,479,27,97,40,249,325,297
2020-11-18,231,146,408,18,56,66,262,517,362
2020-11-19,283,94,454,25,10,53,238,506,404
2020-11-20,255,139,505,14,42,30,196,709,434
2020-11-21,269,66,467,56,170,27,154,834,474
2020-11-22,303,107,494,52,82,26,415,801,456
2020-11-23,279,107,404,66,54,20,214,519,421
2020-11-24,246,104,359,70,28,21,215,563,456
2020-11-25,305,108,489,69,37,38,202,449,422
2020-11-26,348,119,561,44,125,60,195,644,421
2020-11-27,419,93,515,61,158,57,314,810,648
2020-11-28,447,89,526,73,56,59,226,674,650
2020-11-29,368,90,629,120,94,22,220,606,741
2020-11-30,337,71,503,62,125,48,158,652,432
2020-12-01,418,81,404,67,41,32,221,815,633
2020-12-02,459,106,542,36,109,49,212,998,600
2020-12-03,453,78,539,112,50,38,212,829,669
2020-12-04,502,81,595,83,50,56,250,808,752
2020-12-05,520,84,586,51,4,45,264,758,760
2020-12-06,486,67,543,60,205,33,178,820,590
2020-12-07,465,77,541,80,72,24,139,804,592
2020-12-08,533,95,552,25,62,58,175,711,546
2020-12-09,589,106,479,131,59,36,166,939,371
2020-12-10,550,85,526,53,109,61,200,925,492
2020-12-11,650,78,532,50,65,44,227,737,555
2020-12-12,737,71,586,57,78,65,159,816,606
2020-12-13,573,67,662,57,53,28,165,1009,613
2020-12-14,673,62,750,59,51,12,114,578,493
2020-12-15,560,74,606,37,53,55,158,568,463
2020-12-16,708,87,710,30,38,53,113,769,548
2020-12-17,937,80,629,40,81,63,135,653,541
2020-12-18,815,63,630,42,46,26,108,577,544
2020-12-19,700,84,555,29,57,46,131,590,448
2020-12-20,650,56,679,32,55,25,88,532,443
2020-12-21,755,47,604,26,46,19,93,446,337
2020-12-22,770,60,806,43,35,69,122,630,478
2020-12-23,708,60,576,50,21,55,113,543,328
2020-12-24,887,55,467,25,30,48,106,576,310
2020-12-25,902,27,618,0,0,49,78,380,302
2020-12-26,758,34,684,0,0,96,51,175,182
2020-12-27,804,44,575,70,126,36,51,358,369
2020-12-28,842,46,780,0,0,66,89,336,303
2020-12-29,1007,73,1007,39,39,112,90,679,404
2020-12-30,950,52,497,44,13,88,94,534,424
2020-12-31,752,62,787,23,47,146,105,579,474
2021-01-01,1239,57,823,0,0,88,116,334,235
2021-01-02,930,64,889,81,75,133,58,175,109
2021-01-03,791,100,674,20,42,104,84,345,549
2021-01-04,775,81,736,48,41,117,75,346,296
2021-01-05,824,94,866,39,33,106,103,435,435
2021-01-06,979,73,767,70,44,133,99,314,407
2021-01-07,430,66,1396,49,83,190,98,392,397
2021-01-08,,,,56,57,155,78,,
2021-01-09,,,,,,,,,
